LRN,Last Name,First Name,Middle Name,Sex,Birth Date,Age,Mother Tongue,Religion,Barangay,Municipality,Province,Father Name,Mother Maiden Name,Learning Modality,Remarks
117591120157,Cruz,Michael John,,MALE,2005-12-09T00:00:00.000Z,20,Hiligaynon,Roman Catholic,Pagsanga‑An,Pavia,Iloilo,Roberto Navarro Cruz,Alicia Navarro Santos,Face_To_Face,
117591120153,Delgado,Mark Anthony,Torres,MALE,2005-08-12T00:00:00.000Z,20,Waray,Roman Catholic,Jibao‑An,Pavia,Iloilo,Fernando Torres Delgado,Lourdes Torres Santos,Face_To_Face,
117591120155,Diaz,Kevin Jerome,Manalo,MALE,2005-09-18T00:00:00.000Z,20,Hiligaynon,Roman Catholic,Anilao,Pavia,Iloilo,Jose Manalo Diaz,Teresa Manalo Santos,Face_To_Face,
117591120151,Garcia,Juan Carlos,Delos Santos,MALE,2005-11-03T00:00:00.000Z,20,Cebuano,Roman Catholic,Balabag,Pavia,Iloilo,Ricardo Lopez Garcia,Elena Delos Santos,Face_To_Face,
117591120152,Lopez,Angela Mae,Santos,FEMALE,2006-05-22T00:00:00.000Z,19,Hiligaynon,Roman Catholic,Amparo,Pavia,Iloilo,Eduardo Santos Lopez,Rosalie Santos Delgado,Face_To_Face,
117591120158,Martinez,Angela Rose,Lopez,FEMALE,2006-03-27T00:00:00.000Z,19,Tagalog,Roman Catholic,Ungka Ii,Pavia,Iloilo,Danilo Lopez Martinez,Sofia Lopez Santos,Face_To_Face,
117591120150,Reyes,Maria Angelica,,FEMALE,2006-02-15T00:00:00.000Z,20,Tagalog,Roman Catholic,Ungka I,Pavia,Iloilo,Antonio Macapagal Reyes,Carmen Delos Bautista,Face_To_Face,
117591120156,Reyes,Liza Marie,Gonzalez,FEMALE,2006-06-05T00:00:00.000Z,19,Cebuano,Roman Catholic,Cabugao Sur,Pavia,Iloilo,Manuel Gonzalez Reyes,Patricia Gonzalez Santos,Face_To_Face,
117591120149,Tan,Adrian Dominic,Lunmawag,MALE,2005-07-29T00:00:00.000Z,20,Hiligaynon,Roman Catholic,Poblacion Ilaya,Pavia,Iloilo,Rogelio Macapagal Tan,Marilyn Lunmawag Santos,Face_To_Face,
117591120154,Torres,Jessica Claire,,FEMALE,2006-01-30T00:00:00.000Z,20,Tagalog,Roman Catholic,Cabugao Norte,Pavia,Iloilo,Ramon Santos Torres,Gloria Mendoza Reyes,Face_To_Face,
